"bdgt_id","dma1_name","chan1_name","client_id","chan1_id","dma1_id","sp_min_h","percent_max","sp_max_h"
"243_146","National","Network TV",53,243,146,NULL,NULL,NULL
"244_146","National","Display",53,244,146,NULL,NULL,NULL
"247_146","National","Local Radio",53,247,146,NULL,NULL,NULL
"276_146","National","Network Radio",53,276,146,NULL,NULL,NULL
"289_146","National","Social",53,289,146,NULL,NULL,NULL
"410_146","National","Email",53,410,146,NULL,NULL,NULL
"445_146","National","SMS",53,445,146,NULL,NULL,NULL
"451_146","National","Cable TV",53,451,146,NULL,NULL,NULL
"452_146","National","Hispanic TV",53,452,146,NULL,NULL,NULL
"453_146","National","Hispanic Radio",53,453,146,NULL,NULL,NULL
"454_146","National","National Print",53,454,146,NULL,NULL,NULL
"455_146","National","Cinema",53,455,146,NULL,NULL,NULL
"456_146","National","Local Print",53,456,146,NULL,NULL,NULL
"457_146","National","Dirent Mail",53,457,146,NULL,NULL,NULL
"458_146","National","Hispanic Display",53,458,146,NULL,NULL,NULL
"459_146","National","Search - Branded",53,459,146,NULL,NULL,NULL
"460_146","National","Search - non Branded",53,460,146,NULL,NULL,NULL
"461_146","National","Video",53,461,146,NULL,NULL,NULL
"6_146","National","OOH",53,6,146,NULL,NULL,NULL
